FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,18_BMI_NORMO,Persone di 18 anni e più per indice di massa corporea: normopeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y60-64,60-64 anni,2024,43.0,,
A,Annuale,18_BMI_NORMO,Persone di 18 anni e più per indice di massa corporea: normopeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y60-64,60-64 anni,2025,44.3,,
A,Annuale,18_BMI_NORMO,Persone di 18 anni e più per indice di massa corporea: normopeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y65-74,65-74 anni,2024,40.0,,
A,Annuale,18_BMI_NORMO,Persone di 18 anni e più per indice di massa corporea: normopeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y65-74,65-74 anni,2025,42.6,,
A,Annuale,18_BMI_NORMO,Persone di 18 anni e più per indice di massa corporea: normopeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE75,75 anni e più,2024,42.9,,
A,Annuale,18_BMI_NORMO,Persone di 18 anni e più per indice di massa corporea: normopeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE75,75 anni e più,2025,43.0,,
A,Annuale,18_BMI_NORMO,Persone di 18 anni e più per indice di massa corporea: normopeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE18,18 anni e più,2024,49.9,,
A,Annuale,18_BMI_NORMO,Persone di 18 anni e più per indice di massa corporea: normopeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE18,18 anni e più,2025,50.3,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y18-24,18-24 anni,2024,16.8,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y18-24,18-24 anni,2025,16.8,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-34,25-34 anni,2024,24.6,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-34,25-34 anni,2025,26.8,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y35-44,35-44 anni,2024,32.7,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y35-44,35-44 anni,2025,32.8,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-54,45-54 anni,2024,36.9,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-54,45-54 anni,2025,36.4,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y55-59,55-59 anni,2024,40.3,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y55-59,55-59 anni,2025,37.6,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y60-64,60-64 anni,2024,40.7,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y60-64,60-64 anni,2025,39.8,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y65-74,65-74 anni,2024,42.1,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y65-74,65-74 anni,2025,40.2,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE75,75 anni e più,2024,41.3,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE75,75 anni e più,2025,41.6,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE18,18 anni e più,2024,35.2,,
A,Annuale,18_BMI_SOVRA,Persone di 18 anni e più per indice di massa corporea: sovrappeso,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE18,18 anni e più,2025,34.8,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y18-24,18-24 anni,2024,3.8,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y18-24,18-24 anni,2025,4.4,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-34,25-34 anni,2024,8.3,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-34,25-34 anni,2025,7.4,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y35-44,35-44 anni,2024,9.8,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y35-44,35-44 anni,2025,10.3,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-54,45-54 anni,2024,12.0,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-54,45-54 anni,2025,12.5,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y55-59,55-59 anni,2024,14.5,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y55-59,55-59 anni,2025,13.1,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y60-64,60-64 anni,2024,14.0,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y60-64,60-64 anni,2025,14.1,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y65-74,65-74 anni,2024,16.2,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y65-74,65-74 anni,2025,15.2,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE75,75 anni e più,2024,13.4,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE75,75 anni e più,2025,13.0,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE18,18 anni e più,2024,11.8,,
A,Annuale,18_BMI_OBE,Persone di 18 anni e più per indice di massa corporea: obesi,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE18,18 anni e più,2025,11.6,,
